RespondentID,Task,Brand,Chosen,Influencer_Type,Platform,Follower_Count,Shared_pers_exp,Discount,choice,alt,id
R_81z7WdyZXQ9Wbfb,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_81z7WdyZXQ9Wbfb_Q5
R_2jvWBbT9CvOm3SR,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2jvWBbT9CvOm3SR_Q5
R_2jvWBbT9CvOm3SR,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2jvWBbT9CvOm3SR_Q5
R_2Rb35dp8wfeBaDF,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_2Rb35dp8wfeBaDF_Q5
R_2Rb35dp8wfeBaDF,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_2Rb35dp8wfeBaDF_Q5
R_2GBcjwNOCU4dagN,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_2GBcjwNOCU4dagN_Q5
R_2GBcjwNOCU4dagN,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_2GBcjwNOCU4dagN_Q5
R_8rcdN0TsXBZGzXr,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_8rcdN0TsXBZGzXr_Q5
R_8rcdN0TsXBZGzXr,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_8rcdN0TsXBZGzXr_Q5
R_8gpCKdOF6SFbOgw,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8gpCKdOF6SFbOgw_Q5
R_8gpCKdOF6SFbOgw,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8gpCKdOF6SFbOgw_Q5
R_8Cex34yWf92r3Aw,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_8Cex34yWf92r3Aw_Q5
R_8Cex34yWf92r3Aw,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_8Cex34yWf92r3Aw_Q5
R_8D1TVkYLKtppPVY,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_8D1TVkYLKtppPVY_Q5
R_8D1TVkYLKtppPVY,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_8D1TVkYLKtppPVY_Q5
R_8wNFZnEgoQke7pn,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8wNFZnEgoQke7pn_Q5
R_8wNFZnEgoQke7pn,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8wNFZnEgoQke7pn_Q5
R_2LoGVIbmGYN0DBy,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2LoGVIbmGYN0DBy_Q5
R_2LoGVIbmGYN0DBy,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2LoGVIbmGYN0DBy_Q5
R_8L5CtF9cDgpql00,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8L5CtF9cDgpql00_Q5
R_8L5CtF9cDgpql00,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8L5CtF9cDgpql00_Q5
R_28M0Q1h0w4U5wt3,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_28M0Q1h0w4U5wt3_Q5
R_28M0Q1h0w4U5wt3,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_28M0Q1h0w4U5wt3_Q5
R_8TT8TEUhZB1f6Oq,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8TT8TEUhZB1f6Oq_Q5
R_8TT8TEUhZB1f6Oq,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8TT8TEUhZB1f6Oq_Q5
R_2lU7Y4jZcpBB2Bb,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2lU7Y4jZcpBB2Bb_Q5
R_2lU7Y4jZcpBB2Bb,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2lU7Y4jZcpBB2Bb_Q5
R_8Lbgh9y8igBUS5X,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_8Lbgh9y8igBUS5X_Q5
R_8Lbgh9y8igBUS5X,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_8Lbgh9y8igBUS5X_Q5
R_2RbxKUMe35GutKF,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2RbxKUMe35GutKF_Q5
R_2RbxKUMe35GutKF,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2RbxKUMe35GutKF_Q5
R_8sh0ogu2GqTkkGv,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8sh0ogu2GqTkkGv_Q5
R_8sh0ogu2GqTkkGv,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8sh0ogu2GqTkkGv_Q5
R_2dAhQiiwuMZwQhY,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_2dAhQiiwuMZwQhY_Q5
R_2dAhQiiwuMZwQhY,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_2dAhQiiwuMZwQhY_Q5
R_2IhjmKAhggQIdRD,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2IhjmKAhggQIdRD_Q5
R_2IhjmKAhggQIdRD,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2IhjmKAhggQIdRD_Q5
R_2SBuxuquBT3MSwb,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2SBuxuquBT3MSwb_Q5
R_2SBuxuquBT3MSwb,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2SBuxuquBT3MSwb_Q5
R_23VmRvj1FeR5pF8,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_23VmRvj1FeR5pF8_Q5
R_23VmRvj1FeR5pF8,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_23VmRvj1FeR5pF8_Q5
R_2Hvugb457FtaHek,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2Hvugb457FtaHek_Q5
R_2Hvugb457FtaHek,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2Hvugb457FtaHek_Q5
R_2GoW0TYfRLxQrfZ,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_2GoW0TYfRLxQrfZ_Q5
R_2GoW0TYfRLxQrfZ,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_2GoW0TYfRLxQrfZ_Q5
R_2W4Eq9eytnsMbYZ,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2W4Eq9eytnsMbYZ_Q5
R_2W4Eq9eytnsMbYZ,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2W4Eq9eytnsMbYZ_Q5
R_22WyilhmRU0ZQdb,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_22WyilhmRU0ZQdb_Q5
R_22WyilhmRU0ZQdb,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_22WyilhmRU0ZQdb_Q5
R_8kaCPaBbKIo2nPd,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_8kaCPaBbKIo2nPd_Q5
R_8kaCPaBbKIo2nPd,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_8kaCPaBbKIo2nPd_Q5
R_8qcTXdVq4w6KT7j,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_8qcTXdVq4w6KT7j_Q5
R_8qcTXdVq4w6KT7j,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_8qcTXdVq4w6KT7j_Q5
R_8pVFXJy6kNfZoqf,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8pVFXJy6kNfZoqf_Q5
R_8pVFXJy6kNfZoqf,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8pVFXJy6kNfZoqf_Q5
R_20O9SHNiQitPNzq,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_20O9SHNiQitPNzq_Q5
R_20O9SHNiQitPNzq,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_20O9SHNiQitPNzq_Q5
R_2IpmHSwX3jCfyvr,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_2IpmHSwX3jCfyvr_Q5
R_2IpmHSwX3jCfyvr,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_2IpmHSwX3jCfyvr_Q5
R_2aLBqmUH9zQPBVo,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2aLBqmUH9zQPBVo_Q5
R_2aLBqmUH9zQPBVo,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2aLBqmUH9zQPBVo_Q5
R_28Ig6f2udTgVaYW,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_28Ig6f2udTgVaYW_Q5
R_28Ig6f2udTgVaYW,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_28Ig6f2udTgVaYW_Q5
R_8E5Kb2I1d81tTye,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_8E5Kb2I1d81tTye_Q5
R_8E5Kb2I1d81tTye,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_8E5Kb2I1d81tTye_Q5
R_2YSyaE3G8jjxwrI,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2YSyaE3G8jjxwrI_Q5
R_2YSyaE3G8jjxwrI,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2YSyaE3G8jjxwrI_Q5
R_8fcGKkxxoNIRre0,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_8fcGKkxxoNIRre0_Q5
R_8fcGKkxxoNIRre0,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_8fcGKkxxoNIRre0_Q5
R_8occPhMACjWBH0J,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_8occPhMACjWBH0J_Q5
R_8occPhMACjWBH0J,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_8occPhMACjWBH0J_Q5
R_827n8bm76OY7SPn,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_827n8bm76OY7SPn_Q5
R_827n8bm76OY7SPn,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_827n8bm76OY7SPn_Q5
R_2TvLmztxPVIkyIH,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_2TvLmztxPVIkyIH_Q5
R_2TvLmztxPVIkyIH,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_2TvLmztxPVIkyIH_Q5
R_80BgoOYtEz6CQZV,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_80BgoOYtEz6CQZV_Q5
R_80BgoOYtEz6CQZV,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_80BgoOYtEz6CQZV_Q5
R_2IYQU42RgobhwpX,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2IYQU42RgobhwpX_Q5
R_2IYQU42RgobhwpX,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2IYQU42RgobhwpX_Q5
R_20rb6IQMmZYALt6,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_20rb6IQMmZYALt6_Q5
R_20rb6IQMmZYALt6,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_20rb6IQMmZYALt6_Q5
R_225CFME6txUHI99,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_225CFME6txUHI99_Q5
R_225CFME6txUHI99,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_225CFME6txUHI99_Q5
R_2pO80H5SIWZoqXf,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_2pO80H5SIWZoqXf_Q5
R_2pO80H5SIWZoqXf,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_2pO80H5SIWZoqXf_Q5
R_8z7gmXUuaQ1gwz7,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_8z7gmXUuaQ1gwz7_Q5
R_8z7gmXUuaQ1gwz7,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_8z7gmXUuaQ1gwz7_Q5
R_27Qq8zBrLty828p,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_27Qq8zBrLty828p_Q5
R_27Qq8zBrLty828p,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_27Qq8zBrLty828p_Q5
R_2CwE935txkPxQBq,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2CwE935txkPxQBq_Q5
R_2CwE935txkPxQBq,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2CwE935txkPxQBq_Q5
R_2iaGSFFZUh8aLY0,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_2iaGSFFZUh8aLY0_Q5
R_2iaGSFFZUh8aLY0,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_2iaGSFFZUh8aLY0_Q5
R_8JkMOpMbJV5VDdI,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_8JkMOpMbJV5VDdI_Q5
R_8JkMOpMbJV5VDdI,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_8JkMOpMbJV5VDdI_Q5
R_8YTI7leeBey0WoV,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8YTI7leeBey0WoV_Q5
R_8YTI7leeBey0WoV,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8YTI7leeBey0WoV_Q5
R_2EFVNEOP4IYyXfP,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2EFVNEOP4IYyXfP_Q5
R_2EFVNEOP4IYyXfP,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2EFVNEOP4IYyXfP_Q5
R_8DSwoMBvNikheOv,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_8DSwoMBvNikheOv_Q5
R_8DSwoMBvNikheOv,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_8DSwoMBvNikheOv_Q5
R_89ohOdoaULrfE7y,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_89ohOdoaULrfE7y_Q5
R_89ohOdoaULrfE7y,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_89ohOdoaULrfE7y_Q5
R_2KNot3VB8VYiAji,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2KNot3VB8VYiAji_Q5
R_2KNot3VB8VYiAji,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2KNot3VB8VYiAji_Q5
R_2QQYVksUHR0z5le,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2QQYVksUHR0z5le_Q5
R_2QQYVksUHR0z5le,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2QQYVksUHR0z5le_Q5
R_2rlabr0UEKR95HD,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2rlabr0UEKR95HD_Q5
R_2rlabr0UEKR95HD,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2rlabr0UEKR95HD_Q5
R_8pSWoh0m3eKsGiQ,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8pSWoh0m3eKsGiQ_Q5
R_8pSWoh0m3eKsGiQ,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8pSWoh0m3eKsGiQ_Q5
R_2dhlO5kcEGPg1fW,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2dhlO5kcEGPg1fW_Q5
R_2dhlO5kcEGPg1fW,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2dhlO5kcEGPg1fW_Q5
R_29bw0SGEEZsweCU,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_29bw0SGEEZsweCU_Q5
R_29bw0SGEEZsweCU,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_29bw0SGEEZsweCU_Q5
R_8gRvw0t4Z7V4ARq,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8gRvw0t4Z7V4ARq_Q5
R_8gRvw0t4Z7V4ARq,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8gRvw0t4Z7V4ARq_Q5
R_8FrWLz1zJ1Kc8Ul,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_8FrWLz1zJ1Kc8Ul_Q5
R_8FrWLz1zJ1Kc8Ul,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_8FrWLz1zJ1Kc8Ul_Q5
R_2ZK8g4igxJB7qCZ,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2ZK8g4igxJB7qCZ_Q5
R_2ZK8g4igxJB7qCZ,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2ZK8g4igxJB7qCZ_Q5
R_2gT4PLAbptGjo4h,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2gT4PLAbptGjo4h_Q5
R_2gT4PLAbptGjo4h,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2gT4PLAbptGjo4h_Q5
R_2JPCH1YQjNqjWUE,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2JPCH1YQjNqjWUE_Q5
R_2JPCH1YQjNqjWUE,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2JPCH1YQjNqjWUE_Q5
R_8iAERGDOTLpMZDX,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8iAERGDOTLpMZDX_Q5
R_8iAERGDOTLpMZDX,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8iAERGDOTLpMZDX_Q5
R_8OCBW12ls5YXLrG,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_8OCBW12ls5YXLrG_Q5
R_8OCBW12ls5YXLrG,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_8OCBW12ls5YXLrG_Q5
R_80kQVvg4WDjXeqT,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_80kQVvg4WDjXeqT_Q5
R_80kQVvg4WDjXeqT,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_80kQVvg4WDjXeqT_Q5
R_8hDyzRLCTG2EmAP,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8hDyzRLCTG2EmAP_Q5
R_8hDyzRLCTG2EmAP,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8hDyzRLCTG2EmAP_Q5
R_2G9xalxf9Mt2uBE,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2G9xalxf9Mt2uBE_Q5
R_2G9xalxf9Mt2uBE,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2G9xalxf9Mt2uBE_Q5
R_2U4a9OElqdxO4rx,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_2U4a9OElqdxO4rx_Q5
R_2U4a9OElqdxO4rx,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_2U4a9OElqdxO4rx_Q5
R_2N3ySZizCltvdpF,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2N3ySZizCltvdpF_Q5
R_2N3ySZizCltvdpF,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2N3ySZizCltvdpF_Q5
R_8KmIItlM9S1Yejf,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8KmIItlM9S1Yejf_Q5
R_8KmIItlM9S1Yejf,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8KmIItlM9S1Yejf_Q5
R_2is4i62XHFsCK1T,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_2is4i62XHFsCK1T_Q5
R_2is4i62XHFsCK1T,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_2is4i62XHFsCK1T_Q5
R_8InFeAvELrBq2Kj,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8InFeAvELrBq2Kj_Q5
R_8InFeAvELrBq2Kj,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8InFeAvELrBq2Kj_Q5
R_8bOBbpWQeFs3lxn,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8bOBbpWQeFs3lxn_Q5
R_8bOBbpWQeFs3lxn,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8bOBbpWQeFs3lxn_Q5
R_8Vo3ADprSRdmS9b,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8Vo3ADprSRdmS9b_Q5
R_8Vo3ADprSRdmS9b,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8Vo3ADprSRdmS9b_Q5
R_8s1BXY03vCzldoa,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_8s1BXY03vCzldoa_Q5
R_8s1BXY03vCzldoa,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_8s1BXY03vCzldoa_Q5
R_8ElFQLcTKGlZL7t,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8ElFQLcTKGlZL7t_Q5
R_8ElFQLcTKGlZL7t,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8ElFQLcTKGlZL7t_Q5
R_21HyxWL8YUfFodX,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_21HyxWL8YUfFodX_Q5
R_21HyxWL8YUfFodX,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_21HyxWL8YUfFodX_Q5
R_2WD2WnD47PyJhro,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2WD2WnD47PyJhro_Q5
R_2WD2WnD47PyJhro,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2WD2WnD47PyJhro_Q5
R_2ptQ5cgTV3D16nv,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2ptQ5cgTV3D16nv_Q5
R_2ptQ5cgTV3D16nv,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2ptQ5cgTV3D16nv_Q5
R_2knDanQqcJ9RO7z,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2knDanQqcJ9RO7z_Q5
R_2knDanQqcJ9RO7z,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2knDanQqcJ9RO7z_Q5
R_2FZOBIBuRGvUDMB,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_2FZOBIBuRGvUDMB_Q5
R_2FZOBIBuRGvUDMB,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_2FZOBIBuRGvUDMB_Q5
R_2g6PUDTsVwC8Gx8,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_2g6PUDTsVwC8Gx8_Q5
R_2g6PUDTsVwC8Gx8,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_2g6PUDTsVwC8Gx8_Q5
R_88RIfEvbRwzqoUM,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_88RIfEvbRwzqoUM_Q5
R_88RIfEvbRwzqoUM,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_88RIfEvbRwzqoUM_Q5
R_85SoU5dW3QR8CzM,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_85SoU5dW3QR8CzM_Q5
