StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q16,Q17,Q18,Q19_1,Q20,Q21,Q22,Q23
2025-06-16 16:52:31,2025-06-16 16:52:47,IP Address,89.205.204.100,100,15,True,2025-06-16 16:52:47,R_89lV2FWkzkCaAXL,,,,,52.3672,4.918,anonymous,EN,No (the Survey Ends),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-16 16:53:03,2025-06-16 16:57:26,IP Address,178.228.86.175,100,263,True,2025-06-16 16:57:27,R_26bcqHV41wlcZ5T,,,,,51.9307,4.4783,anonymous,EN,Yes,In-store discovery,3 = Sometimes,2 = Rarely,3 = Sometimes,1 = Never,4 = Frequently,5 = Very Frequently,3 = 1–2 times per month,Brand A,Brand A,Brand A,Brand A,Brand A,Brand A,Brand A,Brand A,Brand A,Brand B,3 = Moderately,4 = Very,4 = Very,3 = Moderately,4 = It makes me see the product as a good deal,3 = Neither Agree nor Disagree,4,Female,18-24,Italian,Other
2025-06-16 16:58:34,2025-06-16 17:04:11,IP Address,109.36.129.116,100,336,True,2025-06-16 17:04:11,R_81z7WdyZXQ9Wbfb,,,,,51.8182,4.6611,anonymous,EN,Yes,TikTok,5 = Very Frequently,2 = Rarely,3 = Sometimes,2 = Rarely,4 = Frequently,5 = Very Frequently,3 = 1–2 times per month,Brand A,Brand A,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,1 = Not at all,4 = Very,3 = Moderately,1 = Not at all,3 = It does not change my perception of the product’s value,4 = Agree,1 = Strong Preference for Brand A,Female,25-34,Spanish,Employed full-time
2025-06-16 17:04:59,2025-06-16 17:11:32,IP Address,83.225.11.116,100,392,True,2025-06-16 17:11:32,R_2jvWBbT9CvOm3SR,,,,,38.1105,15.6613,anonymous,EN,Yes,Instagram,1 = Never,4 = Frequently,4 = Frequently,1 = Never,4 = Frequently,2 = Rarely,2 = Less than once a month,Brand A,Brand B,Brand B,Brand B,Brand B,Brand B,Brand B,Brand B,Brand B,Brand A,2 = Slightly,3 = Moderately,4 = Very,3 = Moderately,2 = It makes me see the product as slightly less valuable,3 = Neither Agree nor Disagree,4,Female,25-34,Italian,Employed full-time
2025-06-16 17:05:14,2025-06-16 17:20:52,IP Address,104.28.98.47,100,938,True,2025-06-16 17:20:53,R_2Rb35dp8wfeBaDF,,,,,41.8905,12.5127,anonymous,EN,Yes,"Other social media (Facebook, YouTube, X, etc.)",4 = Frequently,2 = Rarely,4 = Frequently,2 = Rarely,3 = Sometimes,3 = Sometimes,4 = 1–2 times per week,Brand B,Brand A,Brand A,Brand B,Brand A,Brand A,Brand A,Brand B,Brand B,Brand A,4 = Very,4 = Very,4 = Very,4 = Very,3 = It does not change my perception of the product’s value,3 = Neither Agree nor Disagree,7 = Strong Preference for Brand B,Female,45-54,Italian,Employed full-time
2025-06-16 17:21:52,2025-06-16 17:22:00,IP Address,62.163.105.157,100,8,True,2025-06-16 17:22:01,R_2mXglQTfK8ma3WV,,,,,52.3746,4.8552,anonymous,EN,No (the Survey Ends),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-16 17:20:46,2025-06-16 17:24:54,IP Address,62.45.117.108,100,248,True,2025-06-16 17:24:54,R_2GBcjwNOCU4dagN,,,,,52.0282,4.2894,anonymous,EN,Yes,TikTok,5 = Very Frequently,3 = Sometimes,2 = Rarely,2 = Rarely,2 = Rarely,2 = Rarely,3 = 1–2 times per month,Brand B,Brand B,Brand A,Brand B,Brand B,Brand B,Brand B,Brand A,Brand B,Brand A,4 = Very,4 = Very,4 = Very,4 = Very,4 = It makes me see the product as a good deal,4 = Agree,5,Female,18-24,Italian,Other
2025-06-16 17:21:08,2025-06-16 17:25:40,IP Address,78.211.212.105,100,271,True,2025-06-16 17:25:40,R_8rcdN0TsXBZGzXr,,,,,43.1479,12.1097,anonymous,EN,Yes,TikTok,5 = Very Frequently,5 = Very Frequently,2 = Rarely,1 = Never,3 = Sometimes,1 = Never,5 = Daily or more,Brand B,Brand B,Brand A,Brand B,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,4 = Very,4 = Very,5 = Completely,2 = Slightly,3 = It does not change my perception of the product’s value,3 = Neither Agree nor Disagree,1 = Strong Preference for Brand A,Female,18-24,Italian,Student
2025-06-16 17:23:46,2025-06-16 17:27:09,IP Address,77.165.44.53,100,202,True,2025-06-16 17:27:09,R_8gpCKdOF6SFbOgw,,,,,52.0096,4.5349,anonymous,EN,Yes,Other,5 = Very Frequently,5 = Very Frequently,3 = Sometimes,1 = Never,4 = Frequently,5 = Very Frequently,5 = Daily or more,Brand A,Brand A,Brand A,Brand B,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,5 = Completely,5 = Completely,1 = Not at all,4 = It makes me see the product as a good deal,5 = Strongly Agree,1 = Strong Preference for Brand A,Female,25-34,Italian,Employed full-time
2025-06-16 17:25:21,2025-06-16 17:31:11,IP Address,151.37.161.70,100,350,True,2025-06-16 17:31:11,R_8Cex34yWf92r3Aw,,,,,43.1479,12.1097,anonymous,EN,Yes,Friends or family recommendation,3 = Sometimes,2 = Rarely,1 = Never,3 = Sometimes,4 = Frequently,4 = Frequently,2 = Less than once a month,Brand B,Brand B,Brand A,Brand B,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,2 = Slightly,4 = Very,2 = Slightly,2 = It makes me see the product as slightly less valuable,3 = Neither Agree nor Disagree,4,Female,18-24,Italian,Student
2025-06-16 17:26:25,2025-06-16 17:32:54,IP Address,93.45.53.88,100,388,True,2025-06-16 17:32:54,R_8D1TVkYLKtppPVY,,,,,38.1979,15.5563,anonymous,EN,Yes,In-store discovery,2 = Rarely,2 = Rarely,3 = Sometimes,4 = Frequently,4 = Frequently,4 = Frequently,3 = 1–2 times per month,Brand B,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,1 = Not at all,4 = Very,4 = Very,1 = Not at all,3 = It does not change my perception of the product’s value,3 = Neither Agree nor Disagree,2,Female,45-54,Italian,Employed full-time
2025-06-16 17:43:18,2025-06-16 17:48:59,IP Address,85.73.71.133,100,340,True,2025-06-16 17:48:59,R_8wNFZnEgoQke7pn,,,,,38.1727,20.4787,anonymous,EN,Yes,Friends or family recommendation,1 = Never,4 = Frequently,2 = Rarely,2 = Rarely,5 = Very Frequently,4 = Frequently,3 = 1–2 times per month,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,4 = Very,5 = Completely,3 = Moderately,3 = It does not change my perception of the product’s value,3 = Neither Agree nor Disagree,3,Female,25-34,Greek,Student
2025-06-16 17:54:05,2025-06-16 17:55:53,IP Address,194.34.233.35,100,107,True,2025-06-16 17:55:53,R_2LoGVIbmGYN0DBy,,,,,45.4722,9.1922,anonymous,EN,Yes,"Other social media (Facebook, YouTube, X, etc.)",5 = Very Frequently,5 = Very Frequently,3 = Sometimes,4 = Frequently,4 = Frequently,5 = Very Frequently,5 = Daily or more,Brand A,Brand B,Brand A,Brand A,Brand B,Brand B,Brand A,Brand A,Brand A,Brand B,4 = Very,4 = Very,5 = Completely,4 = Very,3 = It does not change my perception of the product’s value,3 = Neither Agree nor Disagree,6,Male,18-24,Dutch,Student
2025-06-16 17:58:53,2025-06-16 17:59:08,IP Address,188.217.58.223,100,15,True,2025-06-16 17:59:08,R_2jvyK9Kx9kfzCPK,,,,,43.7825,11.2516,anonymous,EN,No (the Survey Ends),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-16 17:58:04,2025-06-16 18:02:07,IP Address,145.136.149.33,100,243,True,2025-06-16 18:02:08,R_8L5CtF9cDgpql00,,,,,52.0765,5.0901,anonymous,EN,Yes,Friends or family recommendation,1 = Never,1 = Never,2 = Rarely,3 = Sometimes,5 = Very Frequently,4 = Frequently,2 = Less than once a month,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,3 = Moderately,4 = Very,1 = Not at all,2 = It makes me see the product as slightly less valuable,5 = Strongly Agree,1 = Strong Preference for Brand A,Female,18-24,Polish,Student
2025-06-16 18:04:41,2025-06-16 18:08:41,IP Address,78.209.143.154,100,240,True,2025-06-16 18:08:41,R_28M0Q1h0w4U5wt3,,,,,43.1479,12.1097,anonymous,EN,Yes,Friends or family recommendation,1 = Never,1 = Never,1 = Never,3 = Sometimes,4 = Frequently,4 = Frequently,1 =  Never,Brand A,Brand A,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,4 = Very,4 = Very,1 = Not at all,3 = It does not change my perception of the product’s value,4 = Agree,4,Female,18-24,Italian,Student
2025-06-16 18:03:10,2025-06-16 18:09:37,IP Address,188.217.58.223,100,386,True,2025-06-16 18:09:37,R_8TT8TEUhZB1f6Oq,,,,,43.7825,11.2516,anonymous,EN,Yes,Friends or family recommendation,1 = Never,1 = Never,1 = Never,2 = Rarely,4 = Frequently,3 = Sometimes,1 =  Never,Brand A,Brand A,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand A,1 = Not at all,4 = Very,4 = Very,1 = Not at all,3 = It does not change my perception of the product’s value,4 = Agree,2,Female,55-64,Italian,Employed full-time
2025-06-16 18:11:09,2025-06-16 18:11:22,IP Address,78.211.253.94,100,13,True,2025-06-16 18:11:23,R_22rSvEaKBiBsydG,,,,,43.1479,12.1097,anonymous,EN,No (the Survey Ends),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-16 18:06:03,2025-06-16 18:12:01,IP Address,80.56.148.115,100,358,True,2025-06-16 18:12:02,R_2lU7Y4jZcpBB2Bb,,,,,51.9804,5.9149,anonymous,EN,Yes,In-store discovery,4 = Frequently,4 = Frequently,3 = Sometimes,2 = Rarely,3 = Sometimes,4 = Frequently,3 = 1–2 times per month,Brand A,Brand B,Brand A,Brand A,Brand B,Brand B,Brand B,Brand A,Brand A,Brand B,3 = Moderately,3 = Moderately,5 = Completely,2 = Slightly,2 = It makes me see the product as slightly less valuable,3 = Neither Agree nor Disagree,2,Female,25-34,Italian,Self-employed
2025-06-16 18:10:34,2025-06-16 18:14:20,IP Address,185.82.193.35,100,225,True,2025-06-16 18:14:20,R_8Lbgh9y8igBUS5X,,,,,51.9274,4.468,anonymous,EN,Yes,TikTok,5 = Very Frequently,4 = Frequently,3 = Sometimes,1 = Never,3 = Sometimes,2 = Rarely,5 = Daily or more,Brand B,Brand A,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,4 = Very,3 = Moderately,5 = Completely,3 = Moderately,4 = It makes me see the product as a good deal,4 = Agree,3,Female,18-24,Italian,Student
2025-06-16 18:12:10,2025-06-16 18:17:05,IP Address,5.90.66.15,100,294,True,2025-06-16 18:17:05,R_2RbxKUMe35GutKF,,,,,45.6676,9.9288,anonymous,EN,Yes,Instagram,1 = Never,3 = Sometimes,3 = Sometimes,1 = Never,4 = Frequently,1 = Never,1 =  Never,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,3 = Moderately,4 = Very,3 = Moderately,4 = It makes me see the product as a good deal,4 = Agree,3,Male,18-24,Italian,Student
2025-06-16 18:16:38,2025-06-16 18:19:49,IP Address,178.226.229.97,100,190,True,2025-06-16 18:19:49,R_8sh0ogu2GqTkkGv,,,,,51.9357,4.4884,anonymous,EN,Yes,Friends or family recommendation,1 = Never,3 = Sometimes,1 = Never,1 = Never,4 = Frequently,5 = Very Frequently,2 = Less than once a month,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand B,Brand A,Brand B,2 = Slightly,3 = Moderately,5 = Completely,2 = Slightly,2 = It makes me see the product as slightly less valuable,4 = Agree,2,Female,25-34,Italian,Employed full-time
2025-06-16 18:16:38,2025-06-16 18:21:31,IP Address,79.51.1.169,100,292,True,2025-06-16 18:21:32,R_2dAhQiiwuMZwQhY,,,,,45.4317,10.9859,anonymous,EN,Yes,"Other social media (Facebook, YouTube, X, etc.)",1 = Never,4 = Frequently,4 = Frequently,1 = Never,3 = Sometimes,3 = Sometimes,2 = Less than once a month,Brand B,Brand B,Brand A,Brand B,Brand A,Brand B,Brand B,Brand B,Brand B,Brand B,3 = Moderately,3 = Moderately,3 = Moderately,2 = Slightly,3 = It does not change my perception of the product’s value,4 = Agree,2,Female,25-34,Italian,Employed full-time
2025-06-16 18:19:49,2025-06-16 18:25:51,IP Address,185.186.104.228,100,362,True,2025-06-16 18:25:53,R_2IhjmKAhggQIdRD,,,,,40.8449,14.2716,anonymous,EN,Yes,In-store discovery,1 = Never,1 = Never,2 = Rarely,3 = Sometimes,3 = Sometimes,4 = Frequently,3 = 1–2 times per month,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,1 = Not at all,3 = Moderately,4 = Very,1 = Not at all,1 = It makes me see the product as much less valuable,3 = Neither Agree nor Disagree,3,Female,45-54,Italian,Employed full-time
2025-06-16 18:28:01,2025-06-16 18:33:09,IP Address,5.90.75.164,100,307,True,2025-06-16 18:33:09,R_2SBuxuquBT3MSwb,,,,,51.9127,4.4671,anonymous,EN,Yes,In-store discovery,4 = Frequently,4 = Frequently,1 = Never,1 = Never,3 = Sometimes,5 = Very Frequently,3 = 1–2 times per month,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,3 = Moderately,4 = Very,1 = Not at all,3 = It does not change my perception of the product’s value,3 = Neither Agree nor Disagree,2,Female,25-34,Italian,Employed full-time
2025-06-16 18:26:06,2025-06-16 18:33:11,IP Address,2.224.12.218,100,425,True,2025-06-16 18:33:12,R_23VmRvj1FeR5pF8,,,,,45.4722,9.1922,anonymous,EN,Yes,Instagram,3 = Sometimes,5 = Very Frequently,1 = Never,1 = Never,3 = Sometimes,3 = Sometimes,5 = Daily or more,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,4 = Very,5 = Completely,3 = Moderately,4 = It makes me see the product as a good deal,5 = Strongly Agree,1 = Strong Preference for Brand A,Female,18-24,Italian,Employed full-time
2025-06-16 18:30:57,2025-06-16 18:33:48,IP Address,87.2.97.156,100,170,True,2025-06-16 18:33:48,R_2Hvugb457FtaHek,,,,,45.4121,10.3965,anonymous,EN,Yes,TikTok,3 = Sometimes,3 = Sometimes,1 = Never,1 = Never,3 = Sometimes,2 = Rarely,4 = 1–2 times per week,Brand A,Brand B,Brand B,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,1 = Not at all,3 = Moderately,4 = Very,1 = Not at all,3 = It does not change my perception of the product’s value,3 = Neither Agree nor Disagree,1 = Strong Preference for Brand A,Female,18-24,Italian,Student
2025-06-16 18:42:00,2025-06-16 18:47:07,IP Address,151.40.37.234,100,307,True,2025-06-16 18:47:08,R_2GoW0TYfRLxQrfZ,,,,,43.7825,11.2516,anonymous,EN,Yes,Other,1 = Never,2 = Rarely,1 = Never,1 = Never,3 = Sometimes,3 = Sometimes,2 = Less than once a month,Brand B,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,3 = Moderately,3 = Moderately,2 = Slightly,4 = It makes me see the product as a good deal,4 = Agree,2,Female,25-34,Italian,Unemployed
2025-06-16 18:38:21,2025-06-16 18:48:49,IP Address,193.207.180.12,100,628,True,2025-06-16 18:48:49,R_2W4Eq9eytnsMbYZ,,,,,43.7825,11.2516,anonymous,EN,Yes,Friends or family recommendation,1 = Never,2 = Rarely,3 = Sometimes,4 = Frequently,5 = Very Frequently,5 = Very Frequently,2 = Less than once a month,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,1 = Not at all,3 = Moderately,4 = Very,2 = Slightly,2 = It makes me see the product as slightly less valuable,4 = Agree,2,Female,55-64,Italian,Employed full-time
2025-06-16 18:58:01,2025-06-16 19:00:39,IP Address,93.66.27.214,100,157,True,2025-06-16 19:00:39,R_22WyilhmRU0ZQdb,,,,,45.4317,10.9859,anonymous,EN,Yes,Instagram,3 = Sometimes,4 = Frequently,3 = Sometimes,1 = Never,3 = Sometimes,3 = Sometimes,2 = Less than once a month,Brand A,Brand A,Brand A,Brand B,Brand A,Brand A,Brand A,Brand A,Brand A,Brand B,2 = Slightly,3 = Moderately,1 = Not at all,4 = Very,3 = It does not change my perception of the product’s value,5 = Strongly Agree,5,Female,45-54,Italian,Other
2025-06-16 19:03:55,2025-06-16 19:08:41,IP Address,151.43.243.146,100,286,True,2025-06-16 19:08:42,R_8kaCPaBbKIo2nPd,,,,,41.8905,12.5127,anonymous,EN,Yes,In-store discovery,5 = Very Frequently,5 = Very Frequently,3 = Sometimes,4 = Frequently,2 = Rarely,3 = Sometimes,3 = 1–2 times per month,Brand B,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand B,Brand A,1 = Not at all,3 = Moderately,5 = Completely,2 = Slightly,3 = It does not change my perception of the product’s value,3 = Neither Agree nor Disagree,2,Female,18-24,Italian,Student
2025-06-16 19:04:22,2025-06-16 19:12:14,IP Address,193.207.135.57,100,471,True,2025-06-16 19:12:14,R_8qcTXdVq4w6KT7j,,,,,44.4847,11.328,anonymous,EN,Yes,In-store discovery,5 = Very Frequently,4 = Frequently,3 = Sometimes,2 = Rarely,2 = Rarely,4 = Frequently,3 = 1–2 times per month,Brand B,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,3 = Moderately,5 = Completely,2 = Slightly,4 = It makes me see the product as a good deal,4 = Agree,7 = Strong Preference for Brand B,Female,Under 18,Italian,Student
2025-06-16 19:02:10,2025-06-16 19:12:42,IP Address,93.146.169.206,100,632,True,2025-06-16 19:12:42,R_8pVFXJy6kNfZoqf,,,,,41.1122,16.8547,anonymous,EN,Yes,"Traditional media (TV, radio, newspapers, magazines)",1 = Never,1 = Never,1 = Never,3 = Sometimes,2 = Rarely,1 = Never,1 =  Never,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand B,Brand A,2 = Slightly,3 = Moderately,3 = Moderately,2 = Slightly,3 = It does not change my perception of the product’s value,2 = Disagree,7 = Strong Preference for Brand B,Non-Binary / Other,65 or Older,Italian,Other
